"name","id","url","platforms","kill chain phases","description","data sources","detection"
"Exfiltration Over Physical Medium","T1052","https://attack.mitre.org/techniques/T1052","Linux, macOS, Windows","Exfiltration","<p>Adversaries may attempt to exfiltrate data via a physical medium, such as a removable drive. In certain circumstances, such as an air-gapped network compromise, exfiltration could occur via a physical medium or device introduced by a user. Such media could be an external hard drive, USB drive, cellular phone, MP3 player, or other removable storage and processing device. The physical medium or device could be used as the final exfiltration point or to hop between otherwise disconnected systems.</p>","",""
"Exfiltration over USB","T1052.001","https://attack.mitre.org/techniques/T1052/001","Linux, Windows, macOS","Exfiltration","<p>Adversaries may attempt to exfiltrate data over a USB connected physical device. In certain circumstances, such as an air-gapped network compromise, exfiltration could occur via a USB device introduced by a user. The USB device could be used as the final exfiltration point or to hop between otherwise disconnected systems.</p>","",""
"Scheduled Task/Job","T1053","https://attack.mitre.org/techniques/T1053","Windows, Linux, macOS, Containers, ESXi","Execution, Persistence, Privilege Escalation","<p>Adversaries may abuse task scheduling functionality to facilitate initial or recurring execution of malicious code. Utilities exist within all major operating systems to schedule programs or scripts to be executed at a specified date and time. A task can also be scheduled on a remote system, provided the proper authentication is met (ex: RPC and file and printer sharing in Windows environments). Scheduling a task on a remote system typically may require being a member of an admin or otherwise privileged group on the remote system.(Citation: TechNet Task Scheduler Security)</p>
<p>Adversaries may use task scheduling to execute programs at system startup or on a scheduled basis for persistence. These mechanisms can also be abused to run a process under the context of a specified account (such as one with elevated permissions/privileges). Similar to <a href=""https://attack.mitre.org/techniques/T1218"" rel=""noopener"" target=""_blank"">System Binary Proxy Execution</a>, adversaries have also abused task scheduling to potentially mask one-time execution under a trusted system process.(Citation: ProofPoint Serpent)</p>","",""
"At","T1053.002","https://attack.mitre.org/techniques/T1053/002","Windows, Linux, macOS","Execution, Persistence, Privilege Escalation","<p>Adversaries may abuse the <a href=""https://attack.mitre.org/software/S0110"" rel=""noopener"" target=""_blank"">at</a> utility to perform task scheduling for initial or recurring execution of malicious code. The <a href=""https://attack.mitre.org/software/S0110"" rel=""noopener"" target=""_blank"">at</a> utility exists as an executable within Windows, Linux, and macOS for scheduling tasks at a specified time and date. Although deprecated in favor of <a href=""https://attack.mitre.org/techniques/T1053/005"" rel=""noopener"" target=""_blank"">Scheduled Task</a>'s <a href=""https://attack.mitre.org/software/S0111"" rel=""noopener"" target=""_blank"">schtasks</a> in Windows environments, using <a href=""https://attack.mitre.org/software/S0110"" rel=""noopener"" target=""_blank"">at</a> requires that the Task Scheduler service be running, and the user to be logged on as a member of the local Administrators group. In addition to explicitly running the <code>at</code> command, adversaries may also schedule a task with <a href=""https://attack.mitre.org/software/S0110"" rel=""noopener"" target=""_blank"">at</a> by directly leveraging the <a href=""https://attack.mitre.org/techniques/T1047"" rel=""noopener"" target=""_blank"">Windows Management Instrumentation</a> <code>Win32_ScheduledJob</code> WMI class.(Citation: Malicious Life by Cybereason)</p>
<p>On Linux and macOS, <a href=""https://attack.mitre.org/software/S0110"" rel=""noopener"" target=""_blank"">at</a> may be invoked by the superuser as well as any users added to the <code>at.allow</code> file. If the <code>at.allow</code> file does not exist, the <code>at.deny</code> file is checked. Every username not listed in <code>at.deny</code> is allowed to invoke <a href=""https://attack.mitre.org/software/S0110"" rel=""noopener"" target=""_blank"">at</a>. If the <code>at.deny</code> exists and is empty, global use of <a href=""https://attack.mitre.org/software/S0110"" rel=""noopener"" target=""_blank"">at</a> is permitted. If neither file exists (which is often the baseline) only the superuser is allowed to use <a href=""https://attack.mitre.org/software/S0110"" rel=""noopener"" target=""_blank"">at</a>.(Citation: Linux at)</p>
<p>Adversaries may use <a href=""https://attack.mitre.org/software/S0110"" rel=""noopener"" target=""_blank"">at</a> to execute programs at system startup or on a scheduled basis for <a href=""https://attack.mitre.org/tactics/TA0003"" rel=""noopener"" target=""_blank"">Persistence</a>. <a href=""https://attack.mitre.org/software/S0110"" rel=""noopener"" target=""_blank"">at</a> can also be abused to conduct remote <a href=""https://attack.mitre.org/tactics/TA0002"" rel=""noopener"" target=""_blank"">Execution</a> as part of <a href=""https://attack.mitre.org/tactics/TA0008"" rel=""noopener"" target=""_blank"">Lateral Movement</a> and/or to run a process under the context of a specified account (such as SYSTEM).</p>
<p>In Linux environments, adversaries may also abuse <a href=""https://attack.mitre.org/software/S0110"" rel=""noopener"" target=""_blank"">at</a> to break out of restricted environments by using a task to spawn an interactive system shell or to run system commands. Similarly, <a href=""https://attack.mitre.org/software/S0110"" rel=""noopener"" target=""_blank"">at</a> may also be used for <a href=""https://attack.mitre.org/tactics/TA0004"" rel=""noopener"" target=""_blank"">Privilege Escalation</a> if the binary is allowed to run as superuser via <code>sudo</code>.(Citation: GTFObins at)</p>","",""
"Cron","T1053.003","https://attack.mitre.org/techniques/T1053/003","Linux, macOS, ESXi","Execution, Persistence, Privilege Escalation","<p>Adversaries may abuse the <code>cron</code> utility to perform task scheduling for initial or recurring execution of malicious code.(Citation: 20 macOS Common Tools and Techniques) The <code>cron</code> utility is a time-based job scheduler for Unix-like operating systems.  The <code> crontab</code> file contains the schedule of cron entries to be run and the specified times for execution. Any <code>crontab</code> files are stored in operating system-specific file paths.</p>
<p>An adversary may use <code>cron</code> in Linux or Unix environments to execute programs at system startup or on a scheduled basis for <a href=""https://attack.mitre.org/tactics/TA0003"" rel=""noopener"" target=""_blank"">Persistence</a>. In ESXi environments, cron jobs must be created directly via the crontab file (e.g., <code>/var/spool/cron/crontabs/root</code>).(Citation: CloudSEK ESXiArgs 2023)</p>","",""
"Scheduled Task","T1053.005","https://attack.mitre.org/techniques/T1053/005","Windows","Execution, Persistence, Privilege Escalation","<p>Adversaries may abuse the Windows Task Scheduler to perform task scheduling for initial or recurring execution of malicious code. There are multiple ways to access the Task Scheduler in Windows. The <a href=""https://attack.mitre.org/software/S0111"" rel=""noopener"" target=""_blank"">schtasks</a> utility can be run directly on the command line, or the Task Scheduler can be opened through the GUI within the Administrator Tools section of the Control Panel.(Citation: Stack Overflow) In some cases, adversaries have used a .NET wrapper for the Windows Task Scheduler, and alternatively, adversaries have used the Windows netapi32 library and <a href=""https://attack.mitre.org/techniques/T1047"" rel=""noopener"" target=""_blank"">Windows Management Instrumentation</a> (WMI) to create a scheduled task. Adversaries may also utilize the Powershell Cmdlet <code>Invoke-CimMethod</code>, which leverages WMI class <code>PS_ScheduledTask</code> to create a scheduled task via an XML path.(Citation: Red Canary - Atomic Red Team)</p>
<p>An adversary may use Windows Task Scheduler to execute programs at system startup or on a scheduled basis for persistence. The Windows Task Scheduler can also be abused to conduct remote Execution as part of Lateral Movement and/or to run a process under the context of a specified account (such as SYSTEM). Similar to <a href=""https://attack.mitre.org/techniques/T1218"" rel=""noopener"" target=""_blank"">System Binary Proxy Execution</a>, adversaries have also abused the Windows Task Scheduler to potentially mask one-time execution under signed/trusted system processes.(Citation: ProofPoint Serpent)</p>
<p>Adversaries may also create ""hidden"" scheduled tasks (i.e. <a href=""https://attack.mitre.org/techniques/T1564"" rel=""noopener"" target=""_blank"">Hide Artifacts</a>) that may not be visible to defender tools and manual queries used to enumerate tasks. Specifically, an adversary may hide a task from <code>schtasks /query</code> and the Task Scheduler by deleting the associated Security Descriptor (SD) registry value (where deletion of this value must be completed using SYSTEM permissions).(Citation: SigmaHQ)(Citation: Tarrask scheduled task) Adversaries may also employ alternate methods to hide tasks, such as altering the metadata (e.g., <code>Index</code> value) within associated registry keys.(Citation: Defending Against Scheduled Task Attacks in Windows Environments) </p>","",""
"Systemd Timers","T1053.006","https://attack.mitre.org/techniques/T1053/006","Linux","Execution, Persistence, Privilege Escalation","<p>Adversaries may abuse systemd timers to perform task scheduling for initial or recurring execution of malicious code. Systemd timers are unit files with file extension <code>.timer</code> that control services. Timers can be set to run on a calendar event or after a time span relative to a starting point. They can be used as an alternative to <a href=""https://attack.mitre.org/techniques/T1053/003"" rel=""noopener"" target=""_blank"">Cron</a> in Linux environments.(Citation: archlinux Systemd Timers Aug 2020) Systemd timers may be activated remotely via the <code>systemctl</code> command line utility, which operates over <a href=""https://attack.mitre.org/techniques/T1021/004"" rel=""noopener"" target=""_blank"">SSH</a>.(Citation: Systemd Remote Control)</p>
<p>Each <code>.timer</code> file must have a corresponding <code>.service</code> file with the same name, e.g., <code>example.timer</code> and <code>example.service</code>. <code>.service</code> files are <a href=""https://attack.mitre.org/techniques/T1543/002"" rel=""noopener"" target=""_blank"">Systemd Service</a> unit files that are managed by the systemd system and service manager.(Citation: Linux man-pages: systemd January 2014) Privileged timers are written to <code>/etc/systemd/system/</code> and <code>/usr/lib/systemd/system</code> while user level are written to <code>~/.config/systemd/user/</code>.</p>
<p>An adversary may use systemd timers to execute malicious code at system startup or on a scheduled basis for persistence.(Citation: Arch Linux Package Systemd Compromise BleepingComputer 10JUL2018)(Citation: gist Arch package compromise 10JUL2018)(Citation: acroread package compromised Arch Linux Mail 8JUL2018) Timers installed using privileged paths may be used to maintain root level persistence. Adversaries may also install user level timers to achieve user level persistence.(Citation: Falcon Sandbox smp: 28553b3a9d)</p>","",""
"Container Orchestration Job","T1053.007","https://attack.mitre.org/techniques/T1053/007","Containers","Execution, Persistence, Privilege Escalation","<p>Adversaries may abuse task scheduling functionality provided by container orchestration tools such as Kubernetes to schedule deployment of containers configured to execute malicious code. Container orchestration jobs run these automated tasks at a specific date and time, similar to cron jobs on a Linux system. Deployments of this type can also be configured to maintain a quantity of containers over time, automating the process of maintaining persistence within a cluster.</p>
<p>In Kubernetes, a CronJob may be used to schedule a Job that runs one or more containers to perform specific tasks.(Citation: Kubernetes Jobs)(Citation: Kubernetes CronJob) An adversary therefore may utilize a CronJob to schedule deployment of a Job that executes malicious code in various nodes within a cluster.(Citation: Threat Matrix for Kubernetes)</p>","",""
"Process Injection","T1055","https://attack.mitre.org/techniques/T1055","Linux, macOS, Windows","Defense Evasion, Privilege Escalation","<p>Adversaries may inject code into processes in order to evade process-based defenses as well as possibly elevate privileges. Process injection is a method of executing arbitrary code in the address space of a separate live process. Running code in the context of another process may allow access to the process's memory, system/network resources, and possibly elevated privileges. Execution via process injection may also evade detection from security products since the execution is masked under a legitimate process. </p>
<p>There are many different ways to inject code into a process, many of which abuse legitimate functionalities. These implementations exist for every major OS but are typically platform specific. </p>
<p>More sophisticated samples may perform multiple process injections to segment modules and further evade detection, utilizing named pipes or other inter-process communication (IPC) mechanisms as a communication channel. </p>","",""
"Dynamic-link Library Injection","T1055.001","https://attack.mitre.org/techniques/T1055/001","Windows","Defense Evasion, Privilege Escalation","<p>Adversaries may inject dynamic-link libraries (DLLs) into processes in order to evade process-based defenses as well as possibly elevate privileges. DLL injection is a method of executing arbitrary code in the address space of a separate live process.  </p>
<p>DLL injection is commonly performed by writing the path to a DLL in the virtual address space of the target process before loading the DLL by invoking a new thread. The write can be performed with native Windows API calls such as <code>VirtualAllocEx</code> and <code>WriteProcessMemory</code>, then invoked with <code>CreateRemoteThread</code> (which calls the <code>LoadLibrary</code> API responsible for loading the DLL). (Citation: Elastic Process Injection July 2017) </p>
<p>Variations of this method such as reflective DLL injection (writing a self-mapping DLL into a process) and memory module (map DLL when writing into process) overcome the address relocation issue as well as the additional APIs to invoke execution (since these methods load and execute the files in memory by manually preforming the function of <code>LoadLibrary</code>).(Citation: Elastic HuntingNMemory June 2017)(Citation: Elastic Process Injection July 2017) </p>
<p>Another variation of this method, often referred to as Module Stomping/Overloading or DLL Hollowing, may be leveraged to conceal injected code within a process. This method involves loading a legitimate DLL into a remote process then manually overwriting the module's <code>AddressOfEntryPoint</code> before starting a new thread in the target process.(Citation: Module Stomping for Shellcode Injection) This variation allows attackers to hide malicious injected code by potentially backing its execution with a legitimate DLL file on disk.(Citation: Hiding Malicious Code with Module Stomping) </p>
<p>Running code in the context of another process may allow access to the process's memory, system/network resources, and possibly elevated privileges. Execution via DLL injection may also evade detection from security products since the execution is masked under a legitimate process. </p>","",""
"Portable Executable Injection","T1055.002","https://attack.mitre.org/techniques/T1055/002","Windows","Defense Evasion, Privilege Escalation","<p>Adversaries may inject portable executables (PE) into processes in order to evade process-based defenses as well as possibly elevate privileges. PE injection is a method of executing arbitrary code in the address space of a separate live process. </p>
<p>PE injection is commonly performed by copying code (perhaps without a file on disk) into the virtual address space of the target process before invoking it via a new thread. The write can be performed with native Windows API calls such as <code>VirtualAllocEx</code> and <code>WriteProcessMemory</code>, then invoked with <code>CreateRemoteThread</code> or additional code (ex: shellcode). The displacement of the injected code does introduce the additional requirement for functionality to remap memory references. (Citation: Elastic Process Injection July 2017) </p>
<p>Running code in the context of another process may allow access to the process's memory, system/network resources, and possibly elevated privileges. Execution via PE injection may also evade detection from security products since the execution is masked under a legitimate process. </p>","",""
"Thread Execution Hijacking","T1055.003","https://attack.mitre.org/techniques/T1055/003","Windows","Defense Evasion, Privilege Escalation","<p>Adversaries may inject malicious code into hijacked processes in order to evade process-based defenses as well as possibly elevate privileges. Thread Execution Hijacking is a method of executing arbitrary code in the address space of a separate live process. </p>
<p>Thread Execution Hijacking is commonly performed by suspending an existing process then unmapping/hollowing its memory, which can then be replaced with malicious code or the path to a DLL. A handle to an existing victim process is first created with native Windows API calls such as <code>OpenThread</code>. At this point the process can be suspended then written to, realigned to the injected code, and resumed via <code>SuspendThread </code>, <code>VirtualAllocEx</code>, <code>WriteProcessMemory</code>, <code>SetThreadContext</code>, then <code>ResumeThread</code> respectively.(Citation: Elastic Process Injection July 2017)</p>
<p>This is very similar to <a href=""https://attack.mitre.org/techniques/T1055/012"" rel=""noopener"" target=""_blank"">Process Hollowing</a> but targets an existing process rather than creating a process in a suspended state.  </p>
<p>Running code in the context of another process may allow access to the process's memory, system/network resources, and possibly elevated privileges. Execution via Thread Execution Hijacking may also evade detection from security products since the execution is masked under a legitimate process. </p>","",""
"Asynchronous Procedure Call","T1055.004","https://attack.mitre.org/techniques/T1055/004","Windows","Defense Evasion, Privilege Escalation","<p>Adversaries may inject malicious code into processes via the asynchronous procedure call (APC) queue in order to evade process-based defenses as well as possibly elevate privileges. APC injection is a method of executing arbitrary code in the address space of a separate live process. </p>
<p>APC injection is commonly performed by attaching malicious code to the APC Queue (Citation: Microsoft APC) of a process's thread. Queued APC functions are executed when the thread enters an alterable state.(Citation: Microsoft APC) A handle to an existing victim process is first created with native Windows API calls such as <code>OpenThread</code>. At this point <code>QueueUserAPC</code> can be used to invoke a function (such as <code>LoadLibrayA</code> pointing to a malicious DLL). </p>
<p>A variation of APC injection, dubbed ""Early Bird injection"", involves creating a suspended process in which malicious code can be written and executed before the process' entry point (and potentially subsequent anti-malware hooks) via an APC. (Citation: CyberBit Early Bird Apr 2018) AtomBombing (Citation: ENSIL AtomBombing Oct 2016) is another variation that utilizes APCs to invoke malicious code previously written to the global atom table.(Citation: Microsoft Atom Table)</p>
<p>Running code in the context of another process may allow access to the process's memory, system/network resources, and possibly elevated privileges. Execution via APC injection may also evade detection from security products since the execution is masked under a legitimate process. </p>","",""
"Thread Local Storage","T1055.005","https://attack.mitre.org/techniques/T1055/005","Windows","Defense Evasion, Privilege Escalation","<p>Adversaries may inject malicious code into processes via thread local storage (TLS) callbacks in order to evade process-based defenses as well as possibly elevate privileges. TLS callback injection is a method of executing arbitrary code in the address space of a separate live process. </p>
<p>TLS callback injection involves manipulating pointers inside a portable executable (PE) to redirect a process to malicious code before reaching the code's legitimate entry point. TLS callbacks are normally used by the OS to setup and/or cleanup data used by threads. Manipulating TLS callbacks may be performed by allocating and writing to specific offsets within a process&#8217; memory space using other <a href=""https://attack.mitre.org/techniques/T1055"" rel=""noopener"" target=""_blank"">Process Injection</a> techniques such as <a href=""https://attack.mitre.org/techniques/T1055/012"" rel=""noopener"" target=""_blank"">Process Hollowing</a>.(Citation: FireEye TLS Nov 2017)</p>
<p>Running code in the context of another process may allow access to the process's memory, system/network resources, and possibly elevated privileges. Execution via TLS callback injection may also evade detection from security products since the execution is masked under a legitimate process. </p>","",""
"Ptrace System Calls","T1055.008","https://attack.mitre.org/techniques/T1055/008","Linux","Defense Evasion, Privilege Escalation","<p>Adversaries may inject malicious code into processes via ptrace (process trace) system calls in order to evade process-based defenses as well as possibly elevate privileges. Ptrace system call injection is a method of executing arbitrary code in the address space of a separate live process. </p>
<p>Ptrace system call injection involves attaching to and modifying a running process. The ptrace system call enables a debugging process to observe and control another process (and each individual thread), including changing memory and register values.(Citation: PTRACE man) Ptrace system call injection is commonly performed by writing arbitrary code into a running process (ex: <code>malloc</code>) then invoking that memory with <code>PTRACE_SETREGS</code> to set the register containing the next instruction to execute. Ptrace system call injection can also be done with <code>PTRACE_POKETEXT</code>/<code>PTRACE_POKEDATA</code>, which copy data to a specific address in the target processes&#8217; memory (ex: the current address of the next instruction). (Citation: PTRACE man)(Citation: Medium Ptrace JUL 2018) </p>
<p>Ptrace system call injection may not be possible targeting processes that are non-child processes and/or have higher-privileges.(Citation: BH Linux Inject) </p>
<p>Running code in the context of another process may allow access to the process's memory, system/network resources, and possibly elevated privileges. Execution via ptrace system call injection may also evade detection from security products since the execution is masked under a legitimate process. </p>","",""
"Proc Memory","T1055.009","https://attack.mitre.org/techniques/T1055/009","Linux","Defense Evasion, Privilege Escalation","<p>Adversaries may inject malicious code into processes via the /proc filesystem in order to evade process-based defenses as well as possibly elevate privileges. Proc memory injection is a method of executing arbitrary code in the address space of a separate live process. </p>
<p>Proc memory injection involves enumerating the memory of a process via the /proc filesystem (<code>/proc/[pid]</code>) then crafting a return-oriented programming (ROP) payload with available gadgets/instructions. Each running process has its own directory, which includes memory mappings. Proc memory injection is commonly performed by overwriting the target processes&#8217; stack using memory mappings provided by the /proc filesystem. This information can be used to enumerate offsets (including the stack) and gadgets (or instructions within the program that can be used to build a malicious payload) otherwise hidden by process memory protections such as address space layout randomization (ASLR). Once enumerated, the target processes&#8217; memory map within <code>/proc/[pid]/maps</code> can be overwritten using dd.(Citation: Uninformed Needle)(Citation: GDS Linux Injection)(Citation: DD Man) </p>
<p>Other techniques such as <a href=""https://attack.mitre.org/techniques/T1574/006"" rel=""noopener"" target=""_blank"">Dynamic Linker Hijacking</a> may be used to populate a target process with more available gadgets. Similar to <a href=""https://attack.mitre.org/techniques/T1055/012"" rel=""noopener"" target=""_blank"">Process Hollowing</a>, proc memory injection may target child processes (such as a backgrounded copy of sleep).(Citation: GDS Linux Injection) </p>
<p>Running code in the context of another process may allow access to the process's memory, system/network resources, and possibly elevated privileges. Execution via proc memory injection may also evade detection from security products since the execution is masked under a legitimate process. </p>","",""
"Extra Window Memory Injection","T1055.011","https://attack.mitre.org/techniques/T1055/011","Windows","Defense Evasion, Privilege Escalation","<p>Adversaries may inject malicious code into process via Extra Window Memory (EWM) in order to evade process-based defenses as well as possibly elevate privileges. EWM injection is a method of executing arbitrary code in the address space of a separate live process. </p>
<p>Before creating a window, graphical Windows-based processes must prescribe to or register a windows class, which stipulate appearance and behavior (via windows procedures, which are functions that handle input/output of data).(Citation: Microsoft Window Classes) Registration of new windows classes can include a request for up to 40 bytes of EWM to be appended to the allocated memory of each instance of that class. This EWM is intended to store data specific to that window and has specific application programming interface (API) functions to set and get its value. (Citation: Microsoft GetWindowLong function) (Citation: Microsoft SetWindowLong function)</p>
<p>Although small, the EWM is large enough to store a 32-bit pointer and is often used to point to a windows procedure. Malware may possibly utilize this memory location in part of an attack chain that includes writing code to shared sections of the process&#8217;s memory, placing a pointer to the code in EWM, then invoking execution by returning execution control to the address in the process&#8217;s EWM.</p>
<p>Execution granted through EWM injection may allow access to both the target process's memory and possibly elevated privileges. Writing payloads to shared sections also avoids the use of highly monitored API calls such as <code>WriteProcessMemory</code> and <code>CreateRemoteThread</code>.(Citation: Elastic Process Injection July 2017) More sophisticated malware samples may also potentially bypass protection mechanisms such as data execution prevention (DEP) by triggering a combination of windows procedures and other system functions that will rewrite the malicious payload inside an executable portion of the target process.  (Citation: MalwareTech Power Loader Aug 2013) (Citation: WeLiveSecurity Gapz and Redyms Mar 2013)</p>
<p>Running code in the context of another process may allow access to the process's memory, system/network resources, and possibly elevated privileges. Execution via EWM injection may also evade detection from security products since the execution is masked under a legitimate process. </p>","",""
"Process Hollowing","T1055.012","https://attack.mitre.org/techniques/T1055/012","Windows","Defense Evasion, Privilege Escalation","<p>Adversaries may inject malicious code into suspended and hollowed processes in order to evade process-based defenses. Process hollowing is a method of executing arbitrary code in the address space of a separate live process.  </p>
<p>Process hollowing is commonly performed by creating a process in a suspended state then unmapping/hollowing its memory, which can then be replaced with malicious code. A victim process can be created with native Windows API calls such as <code>CreateProcess</code>, which includes a flag to suspend the processes primary thread. At this point the process can be unmapped using APIs calls such as <code>ZwUnmapViewOfSection</code> or <code>NtUnmapViewOfSection</code>  before being written to, realigned to the injected code, and resumed via <code>VirtualAllocEx</code>, <code>WriteProcessMemory</code>, <code>SetThreadContext</code>, then <code>ResumeThread</code> respectively.(Citation: Leitch Hollowing)(Citation: Elastic Process Injection July 2017)</p>
<p>This is very similar to <a href=""https://attack.mitre.org/techniques/T1055/005"" rel=""noopener"" target=""_blank"">Thread Local Storage</a> but creates a new process rather than targeting an existing process. This behavior will likely not result in elevated privileges since the injected process was spawned from (and thus inherits the security context) of the injecting process. However, execution via process hollowing may also evade detection from security products since the execution is masked under a legitimate process. </p>","",""
"Process Doppelg&#228;nging","T1055.013","https://attack.mitre.org/techniques/T1055/013","Windows","Defense Evasion, Privilege Escalation","<p>Adversaries may inject malicious code into process via process doppelg&#228;nging in order to evade process-based defenses as well as possibly elevate privileges. Process doppelg&#228;nging is a method of executing arbitrary code in the address space of a separate live process. </p>
<p>Windows Transactional NTFS (TxF) was introduced in Vista as a method to perform safe file operations. (Citation: Microsoft TxF) To ensure data integrity, TxF enables only one transacted handle to write to a file at a given time. Until the write handle transaction is terminated, all other handles are isolated from the writer and may only read the committed version of the file that existed at the time the handle was opened. (Citation: Microsoft Basic TxF Concepts) To avoid corruption, TxF performs an automatic rollback if the system or application fails during a write transaction. (Citation: Microsoft Where to use TxF)</p>
<p>Although deprecated, the TxF application programming interface (API) is still enabled as of Windows 10. (Citation: BlackHat Process Doppelg&#228;nging Dec 2017)</p>
<p>Adversaries may abuse TxF to a perform a file-less variation of <a href=""https://attack.mitre.org/techniques/T1055"" rel=""noopener"" target=""_blank"">Process Injection</a>. Similar to <a href=""https://attack.mitre.org/techniques/T1055/012"" rel=""noopener"" target=""_blank"">Process Hollowing</a>, process doppelg&#228;nging involves replacing the memory of a legitimate process, enabling the veiled execution of malicious code that may evade defenses and detection. Process doppelg&#228;nging's use of TxF also avoids the use of highly-monitored API functions such as <code>NtUnmapViewOfSection</code>, <code>VirtualProtectEx</code>, and <code>SetThreadContext</code>. (Citation: BlackHat Process Doppelg&#228;nging Dec 2017)</p>
<p>Process Doppelg&#228;nging is implemented in 4 steps (Citation: BlackHat Process Doppelg&#228;nging Dec 2017):</p>
<ul>
<li>Transact &#8211; Create a TxF transaction using a legitimate executable then overwrite the file with malicious code. These changes will be isolated and only visible within the context of the transaction.</li>
<li>Load &#8211; Create a shared section of memory and load the malicious executable.</li>
<li>Rollback &#8211; Undo changes to original executable, effectively removing malicious code from the file system.</li>
<li>Animate &#8211; Create a process from the tainted section of memory and initiate execution.</li>
</ul>
<p>This behavior will likely not result in elevated privileges since the injected process was spawned from (and thus inherits the security context) of the injecting process. However, execution via process doppelg&#228;nging may evade detection from security products since the execution is masked under a legitimate process. </p>","",""
"VDSO Hijacking","T1055.014","https://attack.mitre.org/techniques/T1055/014","Linux","Defense Evasion, Privilege Escalation","<p>Adversaries may inject malicious code into processes via VDSO hijacking in order to evade process-based defenses as well as possibly elevate privileges. Virtual dynamic shared object (vdso) hijacking is a method of executing arbitrary code in the address space of a separate live process. </p>
<p>VDSO hijacking involves redirecting calls to dynamically linked shared libraries. Memory protections may prevent writing executable code to a process via <a href=""https://attack.mitre.org/techniques/T1055/008"" rel=""noopener"" target=""_blank"">Ptrace System Calls</a>. However, an adversary may hijack the syscall interface code stubs mapped into a process from the vdso shared object to execute syscalls to open and map a malicious shared object. This code can then be invoked by redirecting the execution flow of the process via patched memory address references stored in a process' global offset table (which store absolute addresses of mapped library functions).(Citation: ELF Injection May 2009)(Citation: Backtrace VDSO)(Citation: VDSO Aug 2005)(Citation: Syscall 2014)</p>
<p>Running code in the context of another process may allow access to the process's memory, system/network resources, and possibly elevated privileges. Execution via VDSO hijacking may also evade detection from security products since the execution is masked under a legitimate process.  </p>","",""
"ListPlanting","T1055.015","https://attack.mitre.org/techniques/T1055/015","Windows","Defense Evasion, Privilege Escalation","<p>Adversaries may abuse list-view controls to inject malicious code into hijacked processes in order to evade process-based defenses as well as possibly elevate privileges. ListPlanting is a method of executing arbitrary code in the address space of a separate live process.(Citation: Hexacorn Listplanting) Code executed via ListPlanting may also evade detection from security products since the execution is masked under a legitimate process.</p>
<p>List-view controls are user interface windows used to display collections of items.(Citation: Microsoft List View Controls) Information about an application's list-view settings are stored within the process' memory in a <code>SysListView32</code> control.</p>
<p>ListPlanting (a form of message-passing ""shatter attack"") may be performed by copying code into the virtual address space of a process that uses a list-view control then using that code as a custom callback for sorting the listed items.(Citation: Modexp Windows Process Injection) Adversaries must first copy code into the target process&#8217; memory space, which can be performed various ways including by directly obtaining a handle to the <code>SysListView32</code> child of the victim process window (via Windows API calls such as <code>FindWindow</code> and/or <code>EnumWindows</code>) or other <a href=""https://attack.mitre.org/techniques/T1055"" rel=""noopener"" target=""_blank"">Process Injection</a> methods.</p>
<p>Some variations of ListPlanting may allocate memory in the target process but then use window messages to copy the payload, to avoid the use of the highly monitored <code>WriteProcessMemory</code> function. For example, an adversary can use the <code>PostMessage</code> and/or <code>SendMessage</code> API functions to send <code>LVM_SETITEMPOSITION</code> and <code>LVM_GETITEMPOSITION</code> messages, effectively copying a payload 2 bytes at a time to the allocated memory.(Citation: ESET InvisiMole June 2020) </p>
<p>Finally, the payload is triggered by sending the <code>LVM_SORTITEMS</code> message to the <code>SysListView32</code> child of the process window, with the payload within the newly allocated buffer passed and executed as the <code>ListView_SortItems</code> callback.</p>","",""
"Input Capture","T1056","https://attack.mitre.org/techniques/T1056","Linux, macOS, Network Devices, Windows","Collection, Credential Access","<p>Adversaries may use methods of capturing user input to obtain credentials or collect information. During normal system usage, users often provide credentials to various different locations, such as login pages/portals or system dialog boxes. Input capture mechanisms may be transparent to the user (e.g. <a href=""https://attack.mitre.org/techniques/T1056/004"" rel=""noopener"" target=""_blank"">Credential API Hooking</a>) or rely on deceiving the user into providing input into what they believe to be a genuine service (e.g. <a href=""https://attack.mitre.org/techniques/T1056/003"" rel=""noopener"" target=""_blank"">Web Portal Capture</a>).</p>","",""
